Date, Close, Volume, Open, High, Low
11/25/2019, 313.37, 48762680, 311.98, 313.37, 311.98
11/22/2019, 310.96, 44850230, 311.09, 311.24, 309.85
11/21/2019, 310.27, 54664690, 310.89, 311.01, 309.39
11/20/2019, 310.77, 79696280, 311.28, 311.85, 309.06
11/19/2019, 311.93, 67927820, 312.68, 312.69, 311.22
11/18/2019, 312.02, 49327980, 311.53, 312.28, 311.03
11/15/2019, 311.79, 62706190, 311.02, 311.84, 310.26
11/14/2019, 309.55, 52001870, 308.79, 309.64, 308.09
11/13/2019, 309.1, 54459020, 307.91, 309.54, 307.66
11/12/2019, 309, 46484620, 308.75, 309.99, 308.15
11/11/2019, 308.35, 35934910, 307.42, 308.54, 307.27
11/08/2019, 308.94, 49068800, 307.8, 309.0036, 307.03
11/07/2019, 308.18, 54272270, 308.57, 309.65, 307.66
11/06/2019, 307.1, 46487110, 307.03, 307.4, 306.06
11/05/2019, 307.03, 42933220, 307.59, 307.9195, 306.71
11/04/2019, 307.37, 60606920, 307.85, 308, 306.96
11/01/2019, 306.14, 71141520, 304.92, 306.19, 304.74
10/31/2019, 303.33, 69053790, 304.13, 304.13, 301.73
10/30/2019, 304.14, 49643930, 303.43, 304.55, 301.99
10/29/2019, 303.21, 44284920, 303, 304.23, 302.86
10/28/2019, 303.3, 42146970, 302.94, 303.85, 302.91
10/25/2019, 301.6, 45205410, 299.74, 302.2, 299.6806
10/24/2019, 300.37, 35857460, 300.91, 301.07, 299.4601
10/23/2019, 299.88, 34991830, 298.73, 299.94, 298.495
10/22/2019, 299.01, 49126040, 300.58, 300.9, 298.91
10/21/2019, 299.99, 39460900, 299.42, 300.21, 298.935
10/18/2019, 297.97, 64338030, 298.69, 299.395, 296.99
10/17/2019, 299.28, 46784890, 299.68, 300.24, 298.515
10/16/2019, 298.4, 50563600, 298.37, 299.16, 297.92
10/15/2019, 298.88, 47832360, 297.1, 299.7, 296.97
10/14/2019, 295.95, 40546670, 295.93, 296.67, 295.57
10/11/2019, 296.28, 101228600, 296.27, 298.74, 296.1448
10/10/2019, 293.24, 57255970, 291.18, 294.21, 291
10/09/2019, 291.27, 65707330, 290.75, 292.3, 288.6559
10/08/2019, 288.53, 101575500, 291.04, 291.85, 288.49
10/07/2019, 293.08, 60656560, 293.47, 295.26, 292.77
10/04/2019, 294.35, 66700680, 291.14, 294.63, 290.82
10/03/2019, 290.42, 85906800, 287.81, 290.45, 284.82
10/02/2019, 288.06, 124524000, 291.5, 291.51, 286.64
10/01/2019, 293.24, 89900420, 297.74, 298.455, 293
09/30/2019, 296.77, 52562760, 295.97, 297.55, 295.92
09/27/2019, 295.4, 84781110, 297.83, 297.9465, 293.69
09/26/2019, 297, 58722360, 297.63, 297.86, 295.45
09/25/2019, 297.62, 73434080, 295.96, 298.11, 294.33
09/24/2019, 295.87, 97367570, 299.41, 299.84, 294.81
09/23/2019, 298.21, 47541320, 297.55, 299, 297.27
09/20/2019, 298.28, 97455980, 300.36, 300.67, 297.41
09/19/2019, 301.08, 78099220, 301.53, 302.63, 300.7103
09/18/2019, 301.1, 74192090, 300.49, 301.22, 298.24
09/17/2019, 300.92, 42904430, 299.94, 301.02, 299.75
09/16/2019, 300.16, 58191180, 299.84, 301.1378, 299.45
09/13/2019, 301.09, 62104840, 301.78, 302.17, 300.68
09/12/2019, 301.29, 72908750, 301.25, 302.46, 300.41
09/11/2019, 300.25, 68821070, 298.47, 300.34, 297.75
09/10/2019, 298.13, 57947100, 297.36, 298.2, 295.97
09/09/2019, 298.2, 51260290, 299.14, 299.24, 297.16
09/06/2019, 298.05, 49584290, 298.17, 298.76, 297.42
09/05/2019, 297.82, 83356780, 296.79, 298.83, 294.001
09/04/2019, 294.04, 47003960, 293.14, 294.055, 292.31
09/03/2019, 290.74, 69231880, 290.57, 291.58, 289.27
08/30/2019, 292.45, 62961780, 294.22, 294.2399, 291.42
08/29/2019, 292.58, 57998910, 291.72, 293.16, 290.61
08/28/2019, 288.89, 59852320, 286.14, 289.07, 285.25
08/27/2019, 286.87, 68263000, 289.54, 289.95, 286.03
08/26/2019, 288, 72620600, 287.27, 288, 285.58
08/23/2019, 284.85, 149318200, 290.92, 292.76, 283.47
08/22/2019, 292.36, 51739290, 293.23, 293.93, 290.4
08/21/2019, 292.45, 49723430, 292.48, 292.86, 291.72
08/20/2019, 290.09, 51652750, 291.77, 292.36, 289.95
08/19/2019, 292.33, 53640150, 292.19, 293.08, 291.44
08/16/2019, 288.85, 85825290, 286.48, 289.33, 284.7138
08/15/2019, 284.65, 101929800, 284.88, 285.64, 282.39
08/14/2019, 283.9, 135622100, 288.07, 292.4644, 283.76
08/13/2019, 292.55, 94792970, 287.74, 294.15, 287.36
08/12/2019, 288.07, 65527630, 289.96, 291.6052, 287.02
08/09/2019, 291.62, 93729960, 292.58, 293.24, 289.65
08/08/2019, 293.62, 87713900, 289.62, 293.62, 289.01
08/07/2019, 287.97, 140572300, 284.4, 288.82, 282.04
08/06/2019, 287.8, 120711700, 285.91, 288.04, 284.28
08/05/2019, 283.82, 178745400, 288.09, 288.21, 281.72
08/02/2019, 292.62, 116749700, 293.85, 294.12, 290.9
08/01/2019, 294.84, 142646600, 297.6, 300.87, 293.96
07/31/2019, 297.43, 104245200, 300.99, 301.2, 295.2
07/30/2019, 300.72, 45849050, 299.91, 301.17, 299.49
07/29/2019, 301.46, 38126460, 301.88, 301.93, 300.85
07/26/2019, 302.01, 45084080, 300.76, 302.23, 300.62
07/25/2019, 300, 55394090, 300.94, 301, 299.11
07/24/2019, 301.44, 47213230, 299.19, 301.44, 299.09
07/23/2019, 300.03, 44657970, 299.14, 300.03, 298.22
07/22/2019, 297.9, 43687400, 297.61, 298.5, 297.04
07/19/2019, 297.17, 71081240, 300.04, 300.07, 296.96
07/18/2019, 298.83, 51701690, 297.19, 299.25, 296.7
07/17/2019, 297.74, 44102440, 299.75, 299.93, 297.74
07/16/2019, 299.71, 40567960, 300.65, 300.88, 299.44
07/15/2019, 300.75, 33910260, 301.13, 301.13, 300.19
07/12/2019, 300.65, 40354410, 299.85, 300.73, 299.51
07/11/2019, 299.31, 50889480, 299.32, 299.58, 298.2
07/10/2019, 298.61, 58595560, 298.37, 299.66, 297.78
07/09/2019, 297.19, 41101280, 295.54, 297.52, 295.48
07/08/2019, 296.82, 45841770, 297.01, 298.2579, 296.22
07/05/2019, 298.46, 51677330, 297.44, 298.64, 296.01
07/03/2019, 298.8, 40898900, 297.18, 298.82, 297.02
07/02/2019, 296.43, 61504540, 295.61, 296.49, 294.68
07/01/2019, 295.66, 79107470, 296.68, 296.92, 294.33
